"code","run_id","health_systems_costs","monetized_dalys_averted","dalys_averted","name","region","sub_region"
"AFG",50.5,988294.033963497,3615718.8059306,897.453565880295,"Afghanistan","Asia","Southern Asia"
"AGO",50.5,1613058761.62738,13343686299.5804,3312021.61846884,"Angola","Africa","Sub-Saharan Africa"
"BEN",50.5,345586355.741291,7926255464.38368,1967367.10247535,"Benin","Africa","Sub-Saharan Africa"
"BFA",50.5,665485102.570276,14262008046.4322,3539957.24360257,"Burkina Faso","Africa","Sub-Saharan Africa"
"BGD",50.5,64799.4502275823,111639.123792078,27.7098234449582,"Bangladesh","Asia","Southern Asia"
"BRA",50.5,930954.963016881,1468197.95306894,364.419790122685,"Brazil","Americas","Latin America and the Caribbean"
"CIV",50.5,848673309.794195,13716705998.6561,3404608.42542131,"Cote d'Ivoire","Africa","Sub-Saharan Africa"
"CMR",50.5,853557378.570264,12111557584.8726,3006196.31291015,"Cameroon","Africa","Sub-Saharan Africa"
"COD",50.5,1210493689.25001,55192606044.589,13699295.703996,"Congo, Dem. Rep.","Africa","Sub-Saharan Africa"
"COL",50.5,4259467.7685463,920394.953334239,228.450213421794,"Colombia","Americas","Latin America and the Caribbean"
"ETH",50.5,406244712.621795,7289158339.63901,1809233.92976392,"Ethiopia","Africa","Sub-Saharan Africa"
"GHA",50.5,761048253.905241,12895020162.1306,3200658.69271156,"Ghana","Africa","Sub-Saharan Africa"
"GIN",50.5,188388398.701051,3870005539.12022,960569.794687347,"Guinea","Africa","Sub-Saharan Africa"
"GUY",50.5,168550.658236958,154011.8278924,38.2271054660188,"Guyana","Americas","Latin America and the Caribbean"
"HTI",50.5,89003.7993841375,196334.5394715,48.7319788986779,"Haiti","Americas","Latin America and the Caribbean"
"IDN",50.5,10373026.0489404,7347957.62044583,1823.82843422171,"Indonesia","Asia","South-Eastern Asia"
"IND",50.5,479111864.344155,4166695279.94088,1034210.82712131,"India","Asia","Southern Asia"
"KHM",50.5,372615.883968664,771789.788195138,191.56508973807,"Cambodia","Asia","South-Eastern Asia"
"MDG",50.5,77323155.5498916,2827178903.28353,701730.948759527,"Madagascar","Africa","Sub-Saharan Africa"
"MLI",50.5,642174086.177782,13851314286.9697,3438019.39978853,"Mali","Africa","Sub-Saharan Africa"
"MMR",50.5,1585460.23032338,2376622.31666862,589.898796705784,"Myanmar","Asia","South-Eastern Asia"
"MOZ",50.5,566691686.425647,16934526024.0629,4203299.97505885,"Mozambique","Africa","Sub-Saharan Africa"
"MWI",50.5,136973819.739744,2369434834.06672,588114.799598433,"Malawi","Africa","Sub-Saharan Africa"
"NER",50.5,419524790.180482,14110557910.7145,3502365.97291803,"Niger","Africa","Sub-Saharan Africa"
"NGA",50.5,7764239163.01282,113135623953.678,28081268.0949586,"Nigeria","Africa","Sub-Saharan Africa"
"NIC",50.5,120891.430106427,111059.882088738,27.5660505024062,"Nicaragua","Americas","Latin America and the Caribbean"
"PAK",50.5,13844195.0515238,11880621.009992,2948.875801072,"Pakistan","Asia","Southern Asia"
"PER",50.5,756949.300947353,357535.933535208,88.7435986325069,"Peru","Americas","Latin America and the Caribbean"
"PNG",50.5,9648502.17399517,11814649.7074444,2932.50113703009,"Papua New Guinea","Oceania","Melanesia"
"RWA",50.5,143579858.122638,3227650552.37237,801131.573863238,"Rwanda","Africa","Sub-Saharan Africa"
"SLB",50.5,1067631.31323505,1120108.73956263,278.020951420595,"Solomon Islands","Oceania","Melanesia"
"TZA",50.5,687125462.761002,13761740308.3285,3415786.34161771,"Tanzania","Africa","Sub-Saharan Africa"
"UGA",50.5,1076395627.29073,21450438588.6285,5324189.63816689,"Uganda","Africa","Sub-Saharan Africa"
"VEN",50.5,6503427.93602142,2501365.17907772,620.861084620305,"Venezuela (Bolivarian Republic of)","Americas","Latin America and the Caribbean"
"YEM",50.5,6871549.08712107,7610142.9128678,1888.90515568012,"Yemen","Asia","Western Asia"
